IDCASA	CP	ESR_DATETIME	HABITACION
35	48600	2015-07-02 00:34:51	Entrada
35	48600	2015-07-02 00:47:22	Entrada
35	48600	2015-07-02 00:51:51	Salon
35	48600	2015-07-02 00:52:02	Baño pequeño
35	48600	2015-07-02 01:05:40	Habitación 1
35	48600	2015-07-02 05:12:09	Habitación 1
35	48600	2015-07-02 05:37:40	Habitación 1
35	48600	2015-07-02 06:10:44	Habitación 1
35	48600	2015-07-02 08:29:51	Habitación 2
35	48600	2015-07-02 08:30:25	Baño pequeño
35	48600	2015-07-02 08:37:44	Baño pequeño
35	48600	2015-07-02 09:12:43	Cocina
35	48600	2015-07-02 09:19:15	Cocina
35	48600	2015-07-02 09:33:05	Cocina
35	48600	2015-07-02 09:55:57	Entrada
35	48600	2015-07-02 09:56:07	Puerta
35	48600	2015-07-02 09:56:07	Puerta
35	48600	2015-07-02 09:56:07	Puerta
35	48600	2015-07-02 09:56:07	Puerta
35	48600	2015-07-02 09:56:07	Puerta
35	48600	2015-07-02 09:57:04	Salon
35	48600	2015-07-02 09:58:55	Baño pequeño
35	48600	2015-07-02 10:00:10	Habitación 2
35	48600	2015-07-02 10:01:56	Baño pequeño
35	48600	2015-07-02 10:02:36	Cocina
35	48600	2015-07-02 10:04:03	Entrada
35	48600	2015-07-02 10:04:11	Salon
35	48600	2015-07-02 10:05:38	Habitación 2
35	48600	2015-07-02 10:07:13	Entrada
35	48600	2015-07-02 10:07:53	Habitación 2
35	48600	2015-07-02 10:13:46	Cocina
35	48600	2015-07-02 10:14:44	Entrada
35	48600	2015-07-02 10:16:32	Salon
35	48600	2015-07-02 10:16:58	Baño pequeño
35	48600	2015-07-02 10:21:59	Habitación 2
35	48600	2015-07-02 10:24:48	Baño pequeño
35	48600	2015-07-02 10:25:50	Entrada
35	48600	2015-07-02 10:26:32	Cocina
35	48600	2015-07-02 10:28:31	Salon
35	48600	2015-07-02 10:33:11	Habitación 2
35	48600	2015-07-02 10:35:14	Habitación 1
35	48600	2015-07-02 10:38:41	Habitación 2
35	48600	2015-07-02 10:39:16	Baño pequeño
35	48600	2015-07-02 10:44:05	Entrada
35	48600	2015-07-02 10:52:57	Baño pequeño
35	48600	2015-07-02 10:55:46	Habitación 2
35	48600	2015-07-02 10:57:23	Entrada
35	48600	2015-07-02 10:58:13	Salon
35	48600	2015-07-02 10:58:16	Entrada
